study_id,series_id,phase,status,nc_n_kabsch_organs,mov_n_kabsch_organs,common_kabsch_organs,common_bone_organs,common_anchor_organs,nc_det,mov_det,det_sign_match,z_offset_mean_mm,z_offset_std_mm,xy_mean_mm,xy_max_mm,mean_centroid_3d,seg_path,flags
1.2.392.200036.9116.2.5.1.37.2418751871.1432695579.168588,1.2.392.200036.9116.2.5.1.37.2418751871.1432696054.719704,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-8.8,6.3,3.1,7.2,9.5,,LARGE_CENTROID_DIST: spleen=17.5mm | IVC=16.8mm
1.2.392.200036.9116.2.5.1.37.2418751871.1432695579.168588,1.2.392.200036.9116.2.5.1.37.2418751871.1432696175.178596,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,37.7,3.9,2.2,3.7,34.5,,LARGE_CENTROID_DIST: liver=43.1mm | spleen=32.2mm | kidney_L=38.0mm | kidney_R=38.0mm | pancreas=53.3mm | gallbladder=36.6mm | IVC=16.1mm | L1=40.7mm | L2=40.7mm | L3=40.8mm | spinal_cord=24.2mm
1.2.392.200036.9116.2.5.1.37.2418751871.1497923284.55315,1.2.392.200036.9116.2.5.1.37.2418751871.1497923642.326997,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,6.4,2.0,3.8,4.3,7.0,,
1.2.392.200036.9116.2.5.1.37.2418751871.1497923284.55315,1.2.392.200036.9116.2.5.1.37.2418751871.1497923800.35888,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,5.0,2.8,4.4,6.0,6.4,,
1.2.392.200036.9116.2.5.1.37.2418751871.1522984884.757455,1.2.392.200036.9116.2.5.1.37.2418751871.1522985252.600093,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.1,0.9,1.3,1.8,3.9,,LARGE_CENTROID_DIST: IVC=17.5mm
1.2.392.200036.9116.2.5.1.37.2418751871.1522984884.757455,1.2.392.200036.9116.2.5.1.37.2418751871.1522985393.543093,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,0.0,1.1,2.4,4.1,3.5,,
1.2.392.200036.9116.2.5.1.37.2418751871.1523338564.321791,1.2.392.200036.9116.2.5.1.37.2418751871.1523338966.131299,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,6.9,0.8,2.2,2.8,7.5,,
1.2.392.200036.9116.2.5.1.37.2418751871.1523338564.321791,1.2.392.200036.9116.2.5.1.37.2418751871.1523339073.436725,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,34.4,0.7,1.9,3.0,31.4,,LARGE_CENTROID_DIST: liver=33.9mm | spleen=34.0mm | kidney_L=34.2mm | kidney_R=35.6mm | pancreas=33.5mm | gallbladder=36.0mm | aorta=15.8mm | IVC=25.6mm | L1=35.8mm | L2=35.6mm | L3=35.7mm | spinal_cord=20.4mm
1.2.392.200036.9116.2.5.1.37.2418751871.1526972837.526920,1.2.392.200036.9116.2.5.1.37.2418751871.1526973181.155618,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-55.5,1.4,1.5,2.5,47.8,,LARGE_CENTROID_DIST: liver=53.7mm | spleen=57.2mm | kidney_L=54.8mm | kidney_R=56.4mm | pancreas=59.1mm | gallbladder=54.3mm | aorta=40.4mm | IVC=17.1mm | L1=48.7mm | L2=44.2mm | L3=53.2mm | spinal_cord=34.7mm
1.2.392.200036.9116.2.5.1.37.2418751871.1526972837.526920,1.2.392.200036.9116.2.5.1.37.2418751871.1526973364.470863,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,0.4,1.2,3.0,6.8,6.6,,LARGE_CENTROID_DIST: aorta=18.1mm | L2=22.8mm
