study_id,series_id,phase,status,nc_n_kabsch_organs,mov_n_kabsch_organs,common_kabsch_organs,common_bone_organs,common_anchor_organs,nc_det,mov_det,det_sign_match,z_offset_mean_mm,z_offset_std_mm,xy_mean_mm,xy_max_mm,mean_centroid_3d,seg_path,flags
1.2.392.200036.9116.2.5.1.37.2418751871.1432695579.168588,1.2.392.200036.9116.2.5.1.37.2418751871.1432696054.719704,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.2,5.5,52.8,53.4,52.7,,LARGE_XY_RESIDUAL=52.8mm | LARGE_CENTROID_DIST: liver=53.7mm | spleen=54.2mm | kidney_L=53.6mm | kidney_R=51.1mm | pancreas=50.9mm | gallbladder=50.5mm | aorta=53.4mm | IVC=56.2mm | L1=51.8mm | L2=52.4mm | L3=53.1mm | spinal_cord=51.6mm
1.2.392.200036.9116.2.5.1.37.2418751871.1432695579.168588,1.2.392.200036.9116.2.5.1.37.2418751871.1432696175.178596,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,1.9,3.6,20.4,21.8,23.2,,LARGE_CENTROID_DIST: liver=21.5mm | spleen=20.6mm | kidney_L=21.9mm | kidney_R=19.1mm | pancreas=18.8mm | gallbladder=20.6mm | aorta=35.4mm | IVC=31.7mm | L1=21.3mm | L2=21.5mm | L3=22.0mm | spinal_cord=24.4mm
1.2.392.200036.9116.2.5.1.37.2418751871.1497923284.55315,1.2.392.200036.9116.2.5.1.37.2418751871.1497923642.326997,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-0.1,1.0,60.0,61.1,60.0,,LARGE_XY_RESIDUAL=60.0mm | LARGE_CENTROID_DIST: liver=61.1mm | spleen=59.6mm | kidney_L=59.9mm | kidney_R=59.4mm | pancreas=58.9mm | gallbladder=60.3mm | aorta=60.2mm | IVC=61.5mm | L1=59.7mm | L2=59.7mm | L3=59.7mm | spinal_cord=60.0mm
1.2.392.200036.9116.2.5.1.37.2418751871.1497923284.55315,1.2.392.200036.9116.2.5.1.37.2418751871.1497923800.35888,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-0.1,2.0,55.5,56.2,55.8,,LARGE_XY_RESIDUAL=55.5mm | LARGE_CENTROID_DIST: liver=56.2mm | spleen=54.2mm | kidney_L=55.5mm | kidney_R=56.4mm | pancreas=53.6mm | gallbladder=55.9mm | aorta=56.5mm | IVC=57.7mm | L1=56.0mm | L2=55.8mm | L3=55.8mm | spinal_cord=56.1mm
1.2.392.200036.9116.2.5.1.37.2418751871.1522984884.757455,1.2.392.200036.9116.2.5.1.37.2418751871.1522985252.600093,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.9,0.7,7.1,8.8,8.2,,LARGE_CENTROID_DIST: IVC=18.1mm
1.2.392.200036.9116.2.5.1.37.2418751871.1522984884.757455,1.2.392.200036.9116.2.5.1.37.2418751871.1522985393.543093,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,1.5,1.1,2.7,4.5,3.6,,
1.2.392.200036.9116.2.5.1.37.2418751871.1523338564.321791,1.2.392.200036.9116.2.5.1.37.2418751871.1523338966.131299,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-0.6,0.8,10.7,11.4,10.2,,
1.2.392.200036.9116.2.5.1.37.2418751871.1523338564.321791,1.2.392.200036.9116.2.5.1.37.2418751871.1523339073.436725,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,4.9,1.2,98.9,100.9,99.1,,LARGE_XY_RESIDUAL=98.9mm | LARGE_CENTROID_DIST: liver=97.1mm | spleen=97.0mm | kidney_L=100.8mm | kidney_R=101.1mm | pancreas=97.2mm | gallbladder=98.2mm | aorta=95.8mm | IVC=100.3mm | L1=99.6mm | L2=100.8mm | L3=101.5mm | spinal_cord=99.3mm
1.2.392.200036.9116.2.5.1.37.2418751871.1526972837.526920,1.2.392.200036.9116.2.5.1.37.2418751871.1526973181.155618,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-6.7,1.3,38.6,39.3,40.4,,LARGE_CENTROID_DIST: liver=37.9mm | spleen=39.4mm | kidney_L=39.2mm | kidney_R=40.2mm | pancreas=46.9mm | gallbladder=40.7mm | aorta=43.8mm | IVC=41.6mm | L1=38.9mm | L2=38.1mm | L3=39.4mm | spinal_cord=39.2mm
1.2.392.200036.9116.2.5.1.37.2418751871.1526972837.526920,1.2.392.200036.9116.2.5.1.37.2418751871.1526973364.470863,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,3.1,1.3,26.5,30.6,25.0,,LARGE_CENTROID_DIST: liver=25.7mm | spleen=30.9mm | kidney_L=23.3mm | kidney_R=26.9mm | pancreas=26.5mm | gallbladder=26.3mm | aorta=31.4mm | IVC=26.2mm | L1=25.9mm | L3=24.8mm | spinal_cord=25.1mm
1.2.392.200036.9116.2.5.1.37.2418751871.1528603299.120286,1.2.392.200036.9116.2.5.1.37.2418751871.1528603931.876306,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-5.0,7.5,2.0,3.2,5.7,,LARGE_CENTROID_DIST: spleen=18.2mm | IVC=23.7mm
1.2.392.200036.9116.2.5.1.37.2418751871.1528603299.120286,1.2.392.200036.9116.2.5.1.37.2418751871.1528604098.511943,Venous,BAD,12.0,11.0,11.0,4.0,4.0,1.0,1.0,True,0.5,5.6,2.1,3.8,8.1,,LARGE_CENTROID_DIST: aorta=20.4mm | IVC=23.5mm
1.2.392.200036.9116.2.5.1.37.2418751871.1530156734.608221,1.2.392.200036.9116.2.5.1.37.2418751871.1530157223.83065,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-3.7,0.9,17.3,18.3,18.4,,LARGE_CENTROID_DIST: liver=18.0mm | spleen=17.3mm | kidney_L=18.7mm | kidney_R=16.9mm | pancreas=20.6mm | gallbladder=21.8mm | aorta=17.8mm | IVC=17.4mm | L1=18.1mm | L2=18.4mm | L3=18.6mm | spinal_cord=17.5mm
1.2.392.200036.9116.2.5.1.37.2418751871.1530156734.608221,1.2.392.200036.9116.2.5.1.37.2418751871.1530157360.405851,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.2,1.4,5.6,6.7,5.6,,
1.2.392.200036.9116.2.5.1.37.2418751871.1530156734.608221,1.2.392.200036.9116.2.5.1.37.2418751873.1530149367.226128,Arterial,file_missing,,,,,,,,,,,,,,../ncct_cect/vindr_ds/fixed_aligned_rigid_registered/1.2.392.200036.9116.2.5.1.37.2418751871.1530156734.608221/1.2.392.200036.9116.2.5.1.37.2418751871.1530156734.608221_1.2.392.200036.9116.2.5.1.37.2418751873.1530149367.226128_rigid0_seg_reg.nii.gz,
1.2.392.200036.9116.2.5.1.37.2418751871.1533522625.630037,1.2.392.200036.9116.2.5.1.37.2418751871.1533523026.835373,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-9.0,2.2,2.5,4.8,7.8,,
1.2.392.200036.9116.2.5.1.37.2418751871.1533522625.630037,1.2.392.200036.9116.2.5.1.37.2418751871.1533523167.636483,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-14.6,2.8,9.5,14.9,12.4,,LARGE_CENTROID_DIST: liver=19.9mm | spleen=23.1mm | kidney_L=16.1mm | gallbladder=22.3mm
1.2.392.200036.9116.2.5.1.37.2418751871.1542254308.519780,1.2.392.200036.9116.2.5.1.37.2418751871.1542254802.642132,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.9,1.4,5.0,7.4,7.1,,
1.2.392.200036.9116.2.5.1.37.2418751871.1542254308.519780,1.2.392.200036.9116.2.5.1.37.2418751871.1542254914.500427,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,4.4,1.7,19.1,21.2,18.4,,LARGE_CENTROID_DIST: liver=17.7mm | spleen=19.6mm | kidney_L=19.1mm | kidney_R=22.4mm | pancreas=18.7mm | gallbladder=19.4mm | aorta=17.2mm | IVC=20.4mm | L1=19.3mm | L3=16.2mm | spinal_cord=16.3mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573179664.62772,1.2.392.200036.9116.2.5.1.37.2418751871.1573180018.314101,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,0.8,0.6,24.5,25.1,24.1,,LARGE_CENTROID_DIST: liver=25.1mm | spleen=25.2mm | kidney_L=24.7mm | kidney_R=23.2mm | pancreas=22.3mm | gallbladder=24.8mm | aorta=24.0mm | IVC=25.3mm | L1=23.8mm | L2=23.7mm | L3=23.6mm | spinal_cord=23.8mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573179664.62772,1.2.392.200036.9116.2.5.1.37.2418751871.1573180153.428703,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-0.2,0.5,20.0,20.5,19.7,,LARGE_CENTROID_DIST: liver=19.9mm | spleen=20.5mm | kidney_L=20.0mm | kidney_R=19.4mm | pancreas=20.5mm | gallbladder=18.1mm | aorta=19.3mm | IVC=19.4mm | L1=19.8mm | L2=19.9mm | L3=19.8mm | spinal_cord=20.0mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573181976.738010,1.2.392.200036.9116.2.5.1.37.2418751871.1573182356.274039,Arterial,BAD,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,0.0,0.7,13.7,14.7,14.8,,LARGE_CENTROID_DIST: pancreas=15.2mm | L1=16.0mm | L2=19.0mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573181976.738010,1.2.392.200036.9116.2.5.1.37.2418751871.1573182495.4289,Venous,BAD,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,0.6,0.5,21.3,22.6,22.7,,LARGE_CENTROID_DIST: liver=20.2mm | spleen=22.6mm | kidney_L=21.5mm | kidney_R=20.7mm | pancreas=22.7mm | aorta=23.1mm | IVC=22.3mm | L1=19.1mm | L2=35.3mm | L3=20.8mm | spinal_cord=21.3mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573442981.375377,1.2.392.200036.9116.2.5.1.37.2418751871.1573443357.791448,Arterial,BAD,12.0,10.0,10.0,4.0,2.0,1.0,1.0,True,0.3,2.0,189.4,191.4,184.6,,LARGE_XY_RESIDUAL=189.4mm | LARGE_CENTROID_DIST: liver=187.4mm | kidney_R=191.4mm | pancreas=166.1mm | gallbladder=191.5mm | aorta=183.3mm | IVC=190.8mm | L1=184.6mm | L2=181.7mm | L3=177.9mm | spinal_cord=191.1mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573442981.375377,1.2.392.200036.9116.2.5.1.37.2418751871.1573443505.688591,Venous,BAD,12.0,10.0,10.0,4.0,2.0,1.0,1.0,True,1.1,1.6,192.4,194.7,188.0,,LARGE_XY_RESIDUAL=192.4mm | LARGE_CENTROID_DIST: liver=190.2mm | kidney_R=194.7mm | pancreas=170.1mm | gallbladder=196.6mm | aorta=185.7mm | IVC=196.2mm | L1=186.5mm | L2=183.1mm | L3=179.3mm | spinal_cord=197.9mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573604712.598232,1.2.392.200036.9116.2.5.1.37.2418751871.1573605068.552570,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-0.5,0.7,32.8,32.9,32.5,,LARGE_CENTROID_DIST: liver=32.7mm | spleen=32.9mm | kidney_L=32.8mm | kidney_R=32.8mm | pancreas=30.5mm | gallbladder=31.0mm | aorta=34.1mm | IVC=32.8mm | L1=32.9mm | L2=32.5mm | L3=32.2mm | spinal_cord=32.7mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573604712.598232,1.2.392.200036.9116.2.5.1.37.2418751871.1573605184.67969,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,0.2,1.5,41.2,42.2,40.6,,LARGE_XY_RESIDUAL=41.2mm | LARGE_CENTROID_DIST: liver=40.2mm | spleen=42.2mm | kidney_L=41.0mm | kidney_R=41.3mm | pancreas=39.0mm | gallbladder=38.0mm | aorta=40.9mm | IVC=40.7mm | L1=41.0mm | L2=40.6mm | L3=41.1mm | spinal_cord=41.3mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573609663.550134,1.2.392.200036.9116.2.5.1.37.2418751871.1573610053.733799,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,6.7,2.3,92.1,94.9,90.2,,LARGE_XY_RESIDUAL=92.1mm | LARGE_CENTROID_DIST: liver=95.1mm | spleen=92.8mm | kidney_L=93.8mm | kidney_R=87.8mm | pancreas=92.7mm | gallbladder=97.4mm | aorta=86.0mm | IVC=89.2mm | L1=85.6mm | L2=86.6mm | L3=87.9mm | spinal_cord=86.9mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573609663.550134,1.2.392.200036.9116.2.5.1.37.2418751871.1573610197.815054,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,1.5,1.5,14.5,16.1,14.1,,LARGE_CENTROID_DIST: spleen=16.5mm | kidney_R=15.1mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573613878.909734,1.2.392.200036.9116.2.5.1.37.2418751871.1573614240.347822,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.0,0.2,9.6,11.4,10.5,,
1.2.392.200036.9116.2.5.1.37.2418751871.1573613878.909734,1.2.392.200036.9116.2.5.1.37.2418751871.1573614374.759012,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.7,0.7,12.1,13.7,12.4,,
1.2.392.200036.9116.2.5.1.37.2418751871.1573700569.639395,1.2.392.200036.9116.2.5.1.37.2418751871.1573700973.624800,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-0.9,0.7,5.6,6.1,6.3,,
