,,eroded_dice,eroded_dice,ncc,ncc,centroid_mm,centroid_mm
,,mean,std,mean,std,mean,std
organ,phase,,,,,,
aorta,Arterial,0.62,0.1711,0.0377,0.2083,5.0091,4.1641
aorta,Other,0.5961,0.2032,0.1279,0.2481,3.9235,4.8508
aorta,Venous,0.6472,0.1916,0.0758,0.2305,3.8244,3.8637
gallbladder,Arterial,0.3545,0.2964,,,7.5499,9.0746
gallbladder,Other,0.1196,0.1835,,,12.6262,15.5065
gallbladder,Venous,0.3426,0.2904,,,7.1195,5.7639
inferior_vena_cava,Arterial,0.339,0.2086,-0.0196,0.2045,8.5533,7.0311
inferior_vena_cava,Other,0.2572,0.1819,-0.1429,0.2811,12.6447,11.7834
inferior_vena_cava,Venous,0.3754,0.2133,-0.0311,0.2158,8.1147,6.8282
kidney_left,Arterial,0.6035,0.2101,0.0346,0.0764,5.2945,6.2085
kidney_left,Other,0.4483,0.2727,-0.0257,0.0723,8.9553,13.5122
kidney_left,Venous,0.5959,0.1942,0.0434,0.0954,5.0077,4.7048
kidney_right,Arterial,0.6514,0.1973,0.041,0.1256,5.3248,6.6331
kidney_right,Other,0.579,0.268,0.0375,0.0938,8.9987,13.5273
kidney_right,Venous,0.6369,0.1562,0.0577,0.1401,4.9173,4.6157
liver,Arterial,0.8791,0.1032,0.1056,0.1529,5.7029,6.5618
liver,Other,0.8194,0.1754,0.1878,0.1516,9.2546,11.62
liver,Venous,0.8796,0.0782,0.1187,0.1779,4.981,4.9133
pancreas,Arterial,0.4134,0.2152,,,6.5008,7.5395
pancreas,Other,0.3433,0.1922,,,9.9959,12.3526
pancreas,Venous,0.3534,0.1896,,,5.76,4.928
spleen,Arterial,0.744,0.2033,0.0637,0.0865,6.3031,7.3252
spleen,Other,0.6575,0.2388,0.03,0.0442,10.8961,13.7997
spleen,Venous,0.7473,0.1843,0.0762,0.0888,6.2748,5.8265
vertebrae_L1,Arterial,0.8154,0.1945,,,2.4887,6.0185
vertebrae_L1,Other,0.6836,0.2136,,,5.3656,12.0143
vertebrae_L1,Venous,0.7992,0.1962,,,1.9626,2.5763
vertebrae_L2,Arterial,0.8404,0.1665,,,2.046,3.1716
vertebrae_L2,Other,0.7159,0.25,,,5.9148,13.4453
vertebrae_L2,Venous,0.8191,0.1719,,,2.1689,3.2679
vertebrae_L3,Arterial,0.8581,0.1351,,,1.8089,2.7512
vertebrae_L3,Other,0.676,0.2926,,,7.8857,16.4413
vertebrae_L3,Venous,0.8396,0.1398,,,1.9716,2.8732
